"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"HEADER-1X2";"1X02";"X0222";"Header 1X2 2.54mm";"";
"3";"";"HEADER-2X5_1MM27";"2X05_1MM27";"X2151, X2152, X2153";"Header 2X5 1.27mm 0.05"";"";
"3";"0R";"R-EU_R0402";"R0402";"R0401, R0421, R0441";"RESISTOR, European symbol";"";
"2";"0pF";"C-EUC0402";"C0402";"C1065, C1093";"CAPACITOR, European symbol";"";
"1";"1.8nH";"L-EUL0603";"L0603";"L1063";"INDUCTOR, European symbol";"";
"1";"1.8pF";"C-EUC0402";"C0402";"C1067";"CAPACITOR, European symbol";"";
"3";"100kR";"R-EU_R0402";"R0402";"R0462, R0802, R1112";"RESISTOR, European symbol";"";
"38";"100nF";"C-EUC0402";"C0402";"C0213, C0401, C0402, C0403, C0461, C0601, C0701, C0702, C0711, C0721, C0722, C0723, C0724, C0751, C0752, C0801, C0901, C0902, C0903, C1113, C1501, C1502, C1521, C1591, C1592, C1601, C1701, C1801, C1802, C1901, C1911, C1912, C1921, C1922, C1961, C1962, C1971, C1972";"CAPACITOR, European symbol";"";
"4";"10nF";"C-EUC0402";"C0402";"C0412, C1002, C1202, C2021";"CAPACITOR, European symbol";"";
"2";"10pF";"C-EUC0402";"C0402";"C2011, C2032";"CAPACITOR, European symbol";"";
"5";"10uF";"C-EUC0603";"C0603";"C1001, C1201, C1301, C1321, C1421";"CAPACITOR, European symbol";"";
"10";"10uH";"L-EUL0603";"L0603";"L0411, L1911, L1912, L1921, L1922, L1961, L1962, L1971, L1972, L2011";"INDUCTOR, European symbol";"";
"1";"13nH";"L-EUL0603";"L0603";"L1091";"INDUCTOR, European symbol";"";
"1";"15uH";"L-EUL0805";"L0805";"L1001";"INDUCTOR, European symbol";"";
"1";"18pF";"C-EUC0402";"C0402";"C0332";"CAPACITOR, European symbol";"";
"1";"1kR";"R-EU_R0402";"R0402";"R2021";"RESISTOR, European symbol";"";
"2";"1nF";"C-EUC0402";"C0402";"C1071, C1072";"CAPACITOR, European symbol";"";
"1";"1uF";"C-EUC0402";"C0402";"C0413";"CAPACITOR, European symbol";"";
"1";"2.2uH";"L-EUL2016";"L2016";"L1411";"INDUCTOR, European symbol";"";
"1";"2.7pF";"C-EUC0402";"C0402";"C1091";"CAPACITOR, European symbol";"";
"2";"220kR";"R-EU_R0402";"R0402";"R0201, R0202";"RESISTOR, European symbol";"";
"2";"22kR";"R-EU_R0402";"R0402";"R1905, R1906";"RESISTOR, European symbol";"";
"3";"22pF";"C-EUC0402";"C0402";"C0311, C0921, C0922";"CAPACITOR, European symbol";"";
"4";"3.8pF";"C-EUC0402";"C0402";"C1063, C1082, C1083, C1092";"CAPACITOR, European symbol";"";
"4";"3.9kR";"R-EU_R0402";"R0402";"R0511, R0512, R0931, R0932";"RESISTOR, European symbol";"";
"1";"33kR";"R-EU_R0402";"R0402";"R0221";"RESISTOR, European symbol";"";
"2";"39pF";"C-EUC0402";"C0402";"C1064, C1081";"CAPACITOR, European symbol";"";
"2";"4.7uF";"C-EUC0603";"C0603";"C0410, C1401";"CAPACITOR, European symbol";"";
"1";"4.7uH";"L-EUL2520";"L2520";"L1311";"INDUCTOR, European symbol";"";
"1";"470nF";"C-EUC0402";"C0402";"C1003";"CAPACITOR, European symbol";"";
"28";"47R";"R-EU_R0402";"R0402";"R0731, R0811, R0901, R0902, R0903, R0904, R1011, R1021, R1024, R1051, R1052, R1053, R1071, R1111, R1257, R1266, R1271, R1272, R1911, R1912, R1921, R1922, R1961, R1962, R1971, R1972, R1990, R1991";"RESISTOR, European symbol";"";
"1";"47kR";"R-EU_R0402";"R0402";"R0461";"RESISTOR, European symbol";"";
"1";"47nF";"C-EUC0402";"C0402";"C1005";"CAPACITOR, European symbol";"";
"2";"47nH";"L-EUL0603";"L0603";"L1002, L1062";"INDUCTOR, European symbol";"";
"1";"47pF";"C-EUC0402";"C0402";"C1004";"CAPACITOR, European symbol";"";
"1";"47uF";"C-EUC0805";"C0805";"C0451";"CAPACITOR, European symbol";"";
"1";"6.5nH";"L-EUL0603";"L0603";"L1064";"INDUCTOR, European symbol";"";
"2";"6V";"SMD5";"SMD2,54-5,08";"VIN+, VIN-";"SMD PAD";"";
"1";"7.2pF";"C-EUC0402";"C0402";"C1066";"CAPACITOR, European symbol";"";
"1";"9.1nH";"L-EUL0603";"L0603";"L1082";"INDUCTOR, European symbol";"";
"1";"ABM3B-32.0000MHZ";"ABM3B-32.0000MHZ";"ABM3B";"Q1011";"ABM3B Ceramic SMD Crystal";"";
"2";"ABS07-32.768KHZ";"ABS07-32.768KHZ";"ABS07";"Q0321, Q0921";"ABRACON ABS07";"";
"1";"ANTENNATINY";"ANTENNATINY";"SMA_UFL_PAD_TINY";"X1081";"SMA Antenna Connector";"";
"1";"BNO085";"BNO085";"BNO085_LGA28";"U0911";"hillcrestlabs BNO085";"";
"1";"CMAD6001";"D_SOD923";"SOD923";"D0901";"DIODE with SOD923 footprint";"";
"2";"CUI Inc.  CEB-44D06";"SMD5";"SMD2,54-5,08";"BUZZER+, BUZZER-";"SMD PAD";"";
"1";"ESP-12F__2P00_24MM-X-16MM";"ESP-12F__2P00_24MM-X-16MM";"ESP-12F__2P00_24MM-X-16MM";"U1211";"AI-THINKER ESP-12F";"";
"1";"FTSH-105-01-F-D-K";"2X05_1MM27_SHROUDED_CORTEX_JTAG_SWD"";"2X05_1MM27_SHROUDED_CORTEX_JTAG_SWD";"X0201";"Header 2X5 1.27mm 0.05" shrouded - CORTEX JTAG-SWD";"";
"1";"JR200";"C-TRIMM3MM2_2MM5";"3MM2_X_2MM5";"C0331";"Trimm capacitor";"";
"1";"KSR223GLFG";"KSR223G_SMD_1POL";"KSR223G_SMD_1POL";"S0212";"KSR223G";"";
"1";"MAX6129BEUK30+T";"MAX6129_VREF";"SOT23P290X160-5N";"U0751";"MAX6129";"";
"4";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"H2211, H2221, H2231, H2241";"MOUNTING PAD, round";"";
"1";"MR44V064BMAZAATL";"FEDR44V064B-02_FRAM_8K-8_I2C";"SOIC8_150MIL";"U0611";"FEDR44V064B-02 / MR44V064B";"";
"1";"NAU7802SGI";"NAU7802_24BIT_I2C";"LSOP16";"U0711";"NAU7802";"";
"2";"PCAL6416APW";"PCAL6416APW";"TSSOP24_SOT355-1";"U0811, U1111";"NXP PCAL6416A";"";
"1";"PE4259";"PE4259";"SC-70_6-LEAD_2X1MM25_0P65";"U1071";"pSemi  PE4259";"";
"2";"PHOENIX_1990067_1X8X2MM50_PTSA-0-5";"PHOENIX_1990067_1X8X2MM50_PTSA-0-5";"PHOENIX_1990067_1X8X2MM50_PTSA-0-5";"X2111, X2112";"PCB terminal block - PTSA 0,5/8-2,5-Z - 1990067";"";
"10";"PTR1TP06R";"PTR1TP06R";"TP06R";"TP_+1V2_MCU, TP_+3V3_BRIDGES, TP_+3V3_I2C1, TP_+3V3_SPI3, TP_+3V3_USART1, TP_BAT_VOLTAGE, TP_SX_DIO1, TP_SX_DIO2, TP_SX_DIO3, TP_VBAT";"TEST PIN";"";
"1";"REED-SWITCH-MK6-10";"REED-SWITCH-MK6-10";"MK6-10";"S2031";"Reed Sensor";"";
"1";"STM32L452RET_64PIN_SMPS";"STM32L452RET_64PIN_SMPS";"LQFP64";"U0101";"STM32L452RET6P 64LQFP";"";
"1";"SX1261IMLTRT";"SX1261";"QFN24-4X4-0P5-PAD";"U1001";"Semtech SX1261/2";"";
"1";"TPS62743YFPR";"TPS62743";"WCSP-8";"U1411";"TPS62743 300/400 mA High Efficiency Buck Converter with Ultra-low Quiescent Current";"";
"1";"TPS62745DSSR";"TPS62745";"WSON-12";"U1311";"TPS62745 Dual-cell Ultra Low IQ Step Down Converter for Low Power Wireless Applications";"";
"8";"TS5A23166";"TS5A23166";"R-PDSO-G8";"U1511, U1601, U1701, U1801, U1911, U1912, U1921, U1922";"TS5A23166";"";
